Competitor,Nat,Mark
Letesenbet GIDEY,ETH,1741.03
Gudaf TSEGAY,ETH,1745.92
Almaz AYANA,ETH,1757.45
Tirunesh DIBABA,ETH,1782.56
Fotyen TESFAY,ETH,1787.71
Tsigie GEBRESELAMA,ETH,1788.34
Ejgayehu TAYE,ETH,1790.52
Meselech MELKAMU,ETH,1793.8
Mizan ALEM,ETH,1799.03
Lemlem HAILU,ETH,1799.15
Meseret DEFAR,ETH,1799.2
Berhane ADERE,ETH,1804.18
Werknesh KIDANE,ETH,1807.15
Aynadis MEBRATU,ETH,1809.05
Wude AYALEW,ETH,1811.87
Derartu TULU,ETH,1817.49
Bosena MULATIE,ETH,1817.77
Ejegayehu DIBABA,ETH,1818.39
Tsehay GEMECHU,ETH,1819.29
Yalemzerf YEHUALAW,ETH,1820.77
Gete WAMI,ETH,1822.48
Girmawit GEBRZIHAIR,ETH,1823.69
Gelete BURKA,ETH,1826.66
Belaynesh OLJIRA,ETH,1826.7
Ababel YESHANEH,ETH,1835.91
Netsanet GUDETA,ETH,1836.75
Genet YALEW,ETH,1837.38
Mestawat TUFA,ETH,1838.33
Senbere TEFERI,ETH,1840.59
Zeineba YIMER,ETH,1846.24
Aberu KEBEDE,ETH,1848.26
Gela HAMBESE,ETH,1849.14
Alemitu HAROYE,ETH,1850.83
Dera DIDA,ETH,1851.86
Gete ALEMAYEHU,ETH,1853.32
Tadelech BEKELE,ETH,1854.61
Sule UTURA,ETH,1855.5
Mamitu DASKA,ETH,1855.56
Senayet GETACHEW,ETH,1859.39
Merima HASHIM,ETH,1859.92
Wede KEFALE,ETH,1862.43
Degitu AZIMERAW,ETH,1863.32
Hawi FEYSA,ETH,1863.32
Derebe ALEMU,ETH,1864.49
Rahma TUSA,ETH,1865.14
Aheza KIROS,ETH,1866.93
Afera GODFAY,ETH,1868.23
Sutume Asefa KEBEDE,ETH,1869.56
Bezunesh BEKELE,ETH,1870.68
Abersh MINSEWO,ETH,1873.53
Teyba ERKESSO,ETH,1873.67
Gotytom GEBRESLASE,ETH,1874.52
Tigist KIROS GEBRESELASSIE,ETH,1880.38
Bertukan WELDE,ETH,1884.38
Eyerusalem KUMA,ETH,1885.46
Tiki GELANA,ETH,1887.8
Zinash DEBEBE,ETH,1889.71
Tekan BERHE,ETH,1890.95
Merima DENBOBA,ETH,1892.63
Buze DIRIBA,ETH,1893.27
Etalemahu KIDANE,ETH,1893.49
Kidsan ALEMA,ETH,1895.2
Ayelech WORKU,ETH,1898.08
Asnakesh AWOKE,ETH,1899.67
Ashu KASIM,ETH,1906.05
Mekedes ALEMESHETE,ETH,1907.09
Muluhabt TSEGA,ETH,1908.21
Asha GIGI,ETH,1908.31
Abebech AFEWORK,ETH,1908.53
Tigist MOREDA,ETH,1909.71
Anchialem HAYMANOT,ETH,1910.08
Luchia YISHAK,ETH,1916.42
Medhin GEBRESLASSIE,ETH,1916.57
Aster BACHA,ETH,1917.49
Gebeyanesh AYELE,ETH,1918.23
Biruk KONJIT TILAHUN,ETH,1918.45
Workitu AYANU,ETH,1919.94
Mebrat GIDEY,ETH,1921.21
Trihas GEBRE,ETH,1923.39
Desta BURKA,ETH,1923.8
Zeyituba HUSAN,ETH,1927.79
Genet GETANEH,ETH,1929.5
Aberash MANASBO,ETH,1930.8
Shure DEMISE,ETH,1934.25
Atsede BAYISA,ETH,1935.69
Yenenesh TILAHUN DINKESA,ETH,1937.38
Bruktayit ESHETU,ETH,1939.31
Meseret GEBRE,ETH,1941.5
Meseret ABEBAYAHAU,ETH,1942.3
Yetayesh MEKONNEN,ETH,1944.4
Buzunesh GETACHEW,ETH,1945.2
Eleni GEBREMEDHIN-GEBREHIWOT,ETH,1946.92
Boru Feyse TADESE,ETH,1949.07
Likina AMEBAW,ETH,1953.59
Asselefech MEDESSA MERGIA,ETH,1954.09
Addiese MISIENE,ETH,1956.79
Tsige HAILESLASE,ETH,1959.0
Weynshet ANSA,ETH,1960.03
Getenesh URGE,ETH,1964.82
Hiwot AYALEW,ETH,1966.8
